"f","q","n","r","s","pb_mean","cov"
1,1,100,4.94,5.36,1.1181,0.903
1,1,200,4.94,5.36,3.08914,0.888
1,1,300,4.94,5.36,5.2637,0.913
1,1,400,4.94,5.36,7.5149,0.908
2,1,100,5.2,5.6,1.57572,0.97
2,1,200,5.2,5.6,4.08816,0.975
2,1,300,5.2,5.6,6.81179,0.971
2,1,400,5.2,5.6,9.63276,0.976
3,1,100,3.03,3.28,1.13666,0.91
3,1,200,3.03,3.28,4.16194,0.959
3,1,300,3.03,3.28,7.97663,0.94
3,1,400,3.03,3.28,12.21891,0.933
4,1,100,1.92,2.12,5.83692,0.859
4,1,200,1.92,2.12,14.72005,0.906
4,1,300,1.92,2.12,24.39205,0.896
4,1,400,1.92,2.12,34.50131,0.924
5,1,100,0.3,0.31,1.20783,0.927
5,1,200,0.3,0.31,4.15623,0.892
5,1,300,0.3,0.31,7.88744,0.922
5,1,400,0.3,0.31,12.01955,0.939
6,1,100,1.78,1.91,0.66466,0.049
6,1,200,1.78,1.91,2.15445,0.06
6,1,300,1.78,1.91,3.83057,0.054
6,1,400,1.78,1.91,5.61704,0.062
4,2,100,2.96,3.04,0.58043,0.902
4,2,200,2.96,3.04,1.72835,0.908
4,2,300,2.96,3.04,3.10167,0.855
4,2,400,2.96,3.04,4.60944,0.863
5,2,100,0.39,0.4,0.00934,0.363
5,2,200,0.39,0.4,0.06275,0.277
5,2,300,0.39,0.4,0.15534,0.964
5,2,400,0.39,0.4,0.28665,0.958
6,2,100,2.71,2.8,0.0357,0.002
6,2,200,2.71,2.8,0.11214,0.031
6,2,300,2.71,2.8,0.20752,0.074
6,2,400,2.71,2.8,0.30874,0.099
