"pb","quant_boot"
3,1.212
3,1.204
2,1.286
1,1.41
1,1.45
0,1.47
1,1.396
3,1.24
3,2.116
1,1.546
3,1.068
1,1.22
3,1.286
1,1.484
0,1.424
2,1.442
0,1.374
2,1.384
0,1.3
3,1.304
4,2.234
2,1.322
0,1.374
1,1.156
4,2.138
1,2.138
1,1.124
0,1.304
1,1.592
0,1.472
1,1.414
3,2.132
1,1.384
2,1.39
0,1.578
1,1.31
1,1.25
1,1.49
2,1.188
0,1.344
1,1.442
1,1.444
2,1.212
2,1.142
1,1.194
1,1.184
2,1.3
0,1.542
1,1.448
0,1.292
1,1.384
4,1.994
1,1.272
0,1.446
3,1.246
1,1.278
0,1.332
0,1.506
1,1.302
1,1.398
0,1.514
2,1.452
3,1.24599999999995
1,1.35
0,1.332
1,1.458
1,1.438
2,1.346
0,1.314
0,1.25
3,1.344
1,1.208
0,1.182
1,1.294
1,1.356
0,1.294
0,1.292
1,1.464
3,1.548
1,1.408
1,1.438
1,1.452
4,1.21
0,1.426
1,1.462
3,1.246
2,1.418
1,1.402
1,1.312
2,1.55
3,1.432
1,1.566
1,1.532
1,1.278
2,1.384
1,1.44
1,1.296
2,1.266
2,1.442
1,1.424
1,1.318
1,1.474
1,1.376
0,1.298
1,1.366
0,1.456
1,1.462
1,1.278
1,1.472
0,1.152
1,1.524
2,1.378
3,2.074
2,1.344
0,1.558
0,2.114
1,1.356
0,1.488
3,1.266
0,1.344
1,1.234
1,1.294
2,1.24
2,1.28
2,1.182
3,1.394
1,1.556
0,1.218
1,1.424
1,2.12
1,1.252
0,1.304
0,1.414
0,1.512
1,1.226
0,1.336
0,1.4
0,1.19
3,1.2
2,1.506
1,1.384
0,1.5
2,2.158
1,1.466
1,1.33
2,1.274
2,1.32
0,1.442
2,1.424
1,1.384
2,1.494
0,1.348
0,1.592
1,1.496
0,1.502
4,1.282
0,1.54
0,1.63
0,1.362
3,1.266
1,1.384
1,1.266
0,1.276
0,1.28199999999995
4,1.364
2,2.188
1,2.068
1,1.29
0,1.482
0,1.434
0,1.296
3,1.212
1,1.552
0,1.358
1,1.404
0,1.61
1,1.388
0,1.518
0,1.238
1,1.384
0,1.54
2,1.244
1,1.402
1,1.542
1,1.362
2,1.388
0,1.596
2,1.24
2,1.376
2,1.398
0,1.424
1,1.266
1,1.452
1,1.436
0,1.512
0,1.23
2,1.368
0,1.424
1,1.454
0,1.492
0,1.364
0,1.486
1,1.422
3,2.188
0,1.464
1,1.57
3,1.356
0,1.528
0,1.38
1,1.412
1,1.384
1,1.434
0,1.462
0,1.502
1,1.502
0,1.418
1,1.508
4,2.048
1,1.42
0,1.454
2,2.264
2,1.304
1,1.554
1,1.386
0,1.356
1,1.444
0,1.464
2,1.38
2,1.284
2,1.3
1,1.27
3,1.214
1,1.388
0,1.416
1,1.19
1,1.258
3,1.326
1,1.234
2,1.558
1,1.294
0,1.478
1,1.428
0,1.438
0,0.65
1,1.454
1,1.566
2,1.36
0,1.586
0,1.48
4,1.334
2,1.534
0,1.398
1,1.132
2,1.432
3,1.354
1,1.13
1,1.424
0,1.368
0,1.33
1,1.282
1,1.402
3,1.58
2,1.362
2,1.282
0,1.288
2,1.452
2,1.24
0,1.306
3,1.316
2,1.548
2,1.436
1,1.312
0,1.298
1,1.412
1,1.266
1,1.394
1,1.46
0,1.29
0,1.52
0,1.454
3,1.48
1,1.566
2,1.306
1,1.318
3,1.264
0,1.416
2,1.204
1,1.372
1,1.42
2,1.4
0,1.428
0,1.44
3,1.43
1,1.318
1,1.47
2,1.368
1,1.242
3,1.236
2,1.428
2,1.4
2,1.402
4,2.17
1,2.124
1,1.338
3,1.13
1,1.402
3,1.33
0,1.284
2,1.24
2,1.306
1,1.47
2,1.292
1,1.496
2,1.262
1,1.36
0,1.426
0,1.586
0,1.552
0,1.508
1,1.148
1,1.402
2,1.204
1,1.47
1,1.51
0,1.41
1,1.278
0,0.652
2,1.384
1,1.336
1,1.484
2,1.434
1,1.248
0,1.32
2,1.396
1,1.356
3,1.35
0,1.434
0,1.342
1,1.348
1,1.204
1,1.276
1,1.356
3,1.19
2,1.532
0,1.368
1,2.116
0,1.448
1,1.302
1,1.306
3,1.356
1,1.5
1,1.42
0,1.268
0,1.378
0,1.306
1,1.328
1,1.528
1,1.354
0,1.498
0,1.49
2,2.206
0,1.412
1,1.446
1,1.332
0,1.646
1,1.41
2,1.37
1,1.46
2,1.46
0,1.39
1,1.444
0,1.328
1,1.344
0,1.562
1,1.426
2,1.33
0,1.458
1,1.298
1,1.29
2,2.132
4,2.142
1,1.382
0,1.536
2,1.522
2,2.148
0,1.562
4,1.248
0,1.48
0,1.502
1,1.282
2,1.354
1,1.388
2,1.21799999999995
2,1.24
1,1.34
3,1.196
2,1.278
2,1.244
1,2.226
1,1.412
1,1.376
4,1.244
0,1.524
0,1.394
4,1.498
1,1.402
0,1.504
3,2.052
1,1.428
3,1.318
1,1.404
1,1.406
2,1.264
3,1.4
