"pb","quant_boot"
24,8.428
26,8.68
32,8.348
20,8.28939999999998
30,8.474
27,7.666
30,8.164
22,8.782
20,9.116
30,7.55899999999996
23,8.174
24,8.982
25,7.648
27,7.796
23,7.938
17,8.856
22,7.62
29,8.44
31,8.722
19,8.72
23,8.478
27,7.754
19,8.018
26,7.996
23,8.82
18,8.54
22,8.348
19,8.11119999999996
28,8.704
21,8.64539999999997
24,8.122
18,8.066
15,9.002
16,8.852
33,7.814
21,8.4928
40,8.14
29,8.586
24,8.33259999999998
24,8.74
27,8.87
21,8.634
30,8.326
17,8.214
21,7.74979999999997
22,8.296
28,8.61
23,8.522
25,8.646
26,8.566
25,8.92
23,8.48
18,8.08
25,8.95
31,8.21559999999997
28,8.154
37,8.03
18,8.912
18,8.612
19,8.576
29,8.768
29,8.676
21,8.05
21,8.936
26,8.91
25,8.258
24,8.668
21,7.518
27,8.326
28,8.106
16,7.552
24,8.162
30,8.62
20,9.426
19,8.274
21,8.066
29,8.368
31,8.84
19,8.848
22,7.876
14,8.862
30,8.642
23,8.41
24,8.158
26,8.758
26,9.068
19,8.962
20,7.60399999999996
23,8.868
28,7.806
32,8.152
17,8.206
23,8.344
18,7.89559999999999
27,8.556
26,8.328
28,8.43
33,8.33
30,8.522
26,8.036
32,8.07
33,8.432
20,8.62
33,8.76
27,8.362
21,8.102
24,8.766
26,8.262
30,8.348
21,8.4568
15,8.478
33,8.868
16,8.258
25,8.71
24,9.458
30,8.778
22,8.74619999999997
23,8.39739999999999
34,8.182
15,8.54
25,8.43339999999999
21,8.706
27,8.792
27,8.688
31,8.06439999999996
18,9.498
37,8.016
32,8.95
32,8.694
28,7.786
28,8.652
28,8.202
24,9.132
26,8.662
23,8.424
27,8.192
28,7.724
32,8.272
20,8.472
21,8.932
22,8.388
27,9.352
24,8.234
31,8.38
19,8.176
27,8.11
21,8.744
22,8.288
29,8.114
25,8.472
19,8.218
22,8.292
27,8.458
24,7.80199999999998
22,9.26
22,9.042
21,8.332
17,8.134
26,8.142
21,8.338
26,9.444
21,8.504
28,8.932
24,8.798
20,8.51
16,8.36
26,8.418
14,8.634
19,8.466
23,8.312
23,8.9442
27,8.022
22,8.314
41,8.722
21,8.654
30,8.776
23,7.856
22,9.292
21,8.748
18,9.01
22,8.894
27,8.226
20,8.06
22,7.882
22,7.702
22,8.056
25,9.472
25,8.346
23,8.824
22,8.02
26,7.736
18,7.84879999999998
20,7.214
27,8.14
36,7.91899999999999
23,8.06
24,8.944
16,8.104
20,8.222
26,7.916
25,8.368
18,8.26239999999998
21,8.598
26,8.418
19,7.822
25,7.642
29,8.11299999999996
25,8.988
21,8.358
24,8.748
21,8.822
30,8.456
23,8.284
