"pb","quant_boot"
0,2.086
0,1.32
0,2.252
1,2.216
1,1.282
0,2.426
2,0.012
1,1.55
1,2.356
1,2.372
1,2.274
3,2.218
0,2.324
0,1.328
0,1.54999999999995
1,2.65
0,1.576
1,2.118
0,1.848
2,1.686
0,1.9
1,1.392
2,2.328
1,1.61799999999995
1,1.76
0,2.35
3,1.744
2,2.478
1,1.486
1,2.634
1,1.84
0,2.444
3,2.446
1,2.358
1,2.014
0,2.554
3,0.022
1,2.358
0,2.296
2,2.154
2,2.312
0,1.824
0,1.836
2,2.244
1,1.596
3,2.34
1,1.948
1,2.064
1,0.936
1,1.722
1,2.334
1,0.912
1,2.448
1,1.274
0,1.218
1,1.31
2,2.654
2,2.338
2,2.402
0,2.502
2,2.362
1,2.398
2,1.71799999999995
1,0.044
1,2.38
1,1.82
1,1.55599999999995
0,2.388
1,2.412
1,1.628
1,2.088
2,2.282
1,2.408
2,2.352
2,2.022
1,2.298
0,1.756
2,2.322
3,2.446
1,1.332
1,2.372
3,1.332
2,1.78599999999995
1,1.89
2,2.28
1,1.796
0,2.35
2,1.68
2,2.398
1,2.414
0,2.414
1,2.31
3,2.162
3,2.666
0,1.628
3,1.686
1,0.012
4,2.514
2,2.004
0,0.04
1,2.124
0,2.49
1,1.674
3,2.104
0,0.006
1,2.224
2,1.342
0,2.222
1,2.25
1,1.324
0,0.918
1,1.566
2,0.948
0,1.358
1,2.336
1,2.186
0,0.002
0,0.92
2,1.68
0,1.458
1,2.618
0,0
1,2.078
1,2.606
2,2.214
3,2.146
2,0.896
1,2.388
3,2.272
1,2.046
0,0.886
2,2.444
0,2.322
1,2.402
1,2.07
0,1.818
1,2.336
2,2.544
4,1.54
0,1.724
1,1.692
2,1.66999999999995
1,0.908
1,2.144
0,2.308
0,2.27
0,1.946
3,2.198
0,0.01
0,1.828
2,2.238
0,2.086
1,1.29
1,0.784
0,2.148
2,2.236
1,2.62
0,1.984
1,1.79
1,1.75
1,1.67
0,1.408
1,2.51
3,2.404
0,0.03
1,0.68
0,1.79
5,1.596
2,2.31
2,2.464
2,2.504
1,1.582
0,2.316
1,2.576
2,2.046
1,1.672
1,0.936
2,2.576
1,2.388
0,2.5
1,1.722
1,1.742
0,1.614
1,1.962
0,1.758
1,2.134
1,1.43
2,2.468
1,2.428
1,0.774
3,2.292
2,2.384
2,2.38
2,0.826
2,2.216
4,1.62
1,2.288
1,2.358
1,0.93
1,1.512
2,2.55
1,2.21
2,2.344
1,1.318
1,1.548
0,2.278
3,2.474
0,1.524
0,1.824
1,0.84
3,2.602
0,2.244
1,2.446
0,0
1,1.3
2,2.1
0,2.288
0,2.234
1,2.218
1,2.12
1,2.582
1,2.458
0,2.238
2,0.7
0,2.186
0,1.958
0,1.304
2,2.418
1,2.024
1,2.22
1,2.142
0,1.55
0,2.418
0,1.666
3,2.516
1,1.838
1,1.654
1,0.914
1,2.422
1,1.704
3,1.99
1,1.782
1,1.342
0,1.652
2,2.246
1,1.542
0,1.67
1,2.092
0,2.446
2,2.33
3,1.826
2,2.444
0,2.246
1,2.226
0,1.778
1,1.56
1,2.402
1,2.48
2,2.39
2,2.538
2,2.15
1,1.778
0,2.306
0,1.876
1,0.944
2,1.78
1,2.132
1,1.944
1,2.514
0,2.17
0,2.466
2,2.196
3,2.232
2,0.888
2,2.128
1,1.514
2,2.004
2,1.436
1,0
2,2.452
0,2.348
1,0.002
2,2.42
1,2.018
1,1.768
1,2.42
1,2.496
0,2.422
0,2.486
1,2.452
0,2.278
1,2.612
0,1.398
2,2.294
1,2.294
2,1.374
0,2.13
1,1.524
2,2.638
0,2.39
4,2.2
3,1.342
1,1.54
0,2.108
0,2.422
2,2.204
2,1.66999999999995
2,2.33
2,1.718
1,1.634
2,2.514
2,2.352
2,1.944
1,2.172
2,1.578
2,0.782
0,0.032
0,1.96
1,1.836
2,2.28
2,1.578
0,0.014
1,1.196
1,0.008
1,2.286
1,1.60999999999995
1,2.286
1,2.464
0,2.12
2,1.656
2,2.024
4,2.408
1,1.706
1,1.756
1,2.17
1,2.22
1,2.48
0,2.304
2,2.578
1,2.486
1,0.681999999999955
1,0.048
1,0.866
0,1.59
1,2.482
1,2.346
1,1.378
1,1.516
2,0.056
0,1.548
2,2.074
0,2.554
1,2.47
0,1.668
0,2.514
0,2.124
2,0.79
0,2.388
0,0.888
2,2.462
3,2.08199999999995
2,0.898
2,2.076
2,2.172
0,1.746
3,2.404
1,2.35
0,2.47
0,2.086
1,1.872
0,0.942
4,2.208
0,0.02
1,2.304
1,2.114
0,2.418
1,1.922
1,2.112
2,2.466
1,2.312
2,2.29
1,2.372
2,2.32
3,2.306
2,2.146
1,1.706
1,2.634
2,2.44
1,0.03
0,1.594
2,2.138
0,2.598
0,1.59
0,0.69
0,2.394
0,2.224
3,2.232
3,2.162
1,1.42
1,1.708
1,2.552
0,1.78
3,1.768
1,2.344
1,2.312
1,1.70399999999995
2,2.264
1,2.01
1,2.416
1,2.296
2,2.45
0,2.062
3,2.236
1,2.292
0,1.658
3,1.688
4,1.606
0,2.456
1,2.204
1,1.836
1,1.606
0,2.414
1,2.08
0,1.904
1,2.484
1,2.214
1,1.56079999999996
3,2.194
0,0.936
0,1.638
1,0.884
2,0
1,2.396
0,1.296
1,2.064
0,1.856
0,1.58999999999995
1,2.312
2,2.488
0,2.406
2,1.258
1,1.608
2,2.548
2,1.768
0,1.58779999999996
1,1.594
2,1.712
2,2.538
0,1.822
3,2.45
1,2.588
0,0.71
1,1.848
1,1.922
0,1.598
1,1.77
3,2.588
2,0
1,2.416
2,2.312
0,2.22
1,2.266
0,2.056
1,2.262
0,1.906
0,2.514
1,0.936
0,0.034
1,2.32
2,2.2
2,1.37
2,2.272
2,2.55
1,2.24
1,2.042
0,2.36
0,2.19
2,1.346
3,2.518
0,2.566
0,2.268
1,2.332
0,1.402
1,2.056
0,1.828
1,2.418
0,1.684
2,2.298
1,2.382
0,1.748
2,1.874
1,1.578
2,1.836
1,1.69399999999995
0,1.822
1,2.07
0,2.636
1,0
0,1.532
1,2.644
3,2.058
2,2.22
3,2.382
0,2.446
1,2.078
0,1.646
0,2.056
3,2.348
2,2.042
1,2.34
2,1.692
2,0.942
1,2.088
1,1.756
2,2.214
0,1.722
2,2.39
0,1.602
1,2.152
1,2.33
0,1.78
1,1.862
2,1.898
2,2.286
1,2.384
0,1.73
3,2.414
0,1.698
0,1.87
0,1.794
1,1.796
1,2.136
0,1.506
1,1.332
1,2.146
1,1.622
1,2.408
1,2.308
3,2.182
0,1.908
0,2.93
0,1.842
2,2.288
3,2.238
0,0.042
2,2.026
1,2.34
0,1.814
4,2.552
1,2.11
0,2.138
0,1.602
0,1.738
1,2.222
2,2.458
0,1.566
2,1.748
0,0.864
2,1.658
0,2.488
0,2.56
1,2.046
4,2.396
0,2.258
0,2.194
0,1.912
2,0.022
0,2.22
0,2.352
0,2.242
1,2.374
0,2.252
0,0.758
0,1.902
0,2.074
0,2.468
1,1.378
0,2.254
0,1.536
1,2.358
0,2.302
0,2.452
0,0.032
0,1.688
2,2.25
2,1.95
2,2.112
0,1.668
1,2.32
2,1.778
1,1.678
2,2.444
3,2.086
0,2.45
2,2.366
2,0.894
4,2.068
1,2.432
1,2.252
2,1.658
1,2.386
1,0.888
2,0.766
1,2.212
1,2.434
1,2.274
1,1.666
0,2.434
2,2.222
1,2.538
0,2.596
0,1.798
1,2.276
1,1.858
1,2.52
0,2.474
1,1.456
1,2.322
1,2.256
0,2.152
2,1.714
0,1.324
0,2.392
3,1.228
2,1.698
2,1.624
1,2.414
1,1.644
1,1.57599999999995
3,0.01
2,0
1,0.034
3,1.646
1,0.042
3,1.678
0,1.686
0,1.842
1,1.802
0,1.676
1,2.154
0,2.324
1,0.816
4,0.758
2,1.4
1,2.388
0,1.624
1,1.908
1,1.342
0,2.356
1,0.824
1,2.268
0,1.678
0,0.679999999999955
2,2.546
2,2.164
0,1.438
1,2.132
2,2.026
0,2.34
3,2.194
1,2.608
2,2.256
0,2.31
1,0.842
0,1.872
1,1.68399999999995
0,2.404
2,1.462
1,2.342
1,1.666
0,1.61
0,1.702
1,1.528
1,1.904
1,2.162
0,2.484
2,2.348
0,2.362
0,2.158
2,2.41
2,2.368
1,2.048
2,2.362
2,2.086
1,1.752
1,2.26
0,2.264
2,0.746
0,1.7
1,2.462
0,1.982
1,2.174
2,2.38
1,1.586
0,2.03
0,2.386
2,1.768
1,2.094
2,2.006
1,2.596
0,1.612
0,2.344
1,2.148
1,2.398
4,2.25
0,2.318
3,2.406
2,1.388
2,1.788
2,1.654
2,0.018
1,2.412
0,2.226
3,2.204
2,1.244
0,2.518
0,1.782
2,1.682
0,1.812
1,0.79
3,2.214
1,1.93
1,2.286
1,2.26
1,2.362
2,2.432
2,2.188
1,1.55359999999996
1,2.258
0,1.544
1,2.14
0,1.592
0,2.236
1,2.392
1,2.072
0,0.794
2,2.208
2,1.424
1,1.608
0,2.134
2,2.282
2,2.324
2,1.87
1,2.516
2,2.332
1,1.634
3,2.408
1,1.28
3,2.348
2,2.298
1,2.212
1,2.452
1,1.984
0,2.288
1,2.438
1,2.098
2,2.07
0,2.046
1,1.804
1,2.548
1,2.384
2,1.606
0,1.5
0,1.306
0,1.826
0,1.738
0,1.618
1,1.38
1,2.332
1,2.14
4,1.978
3,2.48
2,1.354
1,0.714
1,2.588
1,1.664
0,2.348
2,2.366
1,2.358
1,1.814
2,2.46
2,1.548
2,2.358
0,1.664
2,2.506
0,1.57
0,2.424
3,0.896
2,2.572
1,2.338
1,2.178
0,0.934
0,2.362
1,2.554
3,2.086
0,2.138
0,1.976
0,2.272
1,1.75
0,2.23
1,0
0,2.406
2,1.732
1,0.028
0,1.726
1,1.56079999999996
0,1.804
0,0.828
1,2.25
0,0.024
2,2.18
1,2.332
0,2.406
2,2.296
0,1.754
1,2.25
0,2.158
0,1.518
1,1.474
1,1.546
0,1.82
2,2.472
0,0.904
1,2.562
0,1.964
1,1.524
2,2.164
0,1.782
1,2.11
1,2.558
3,2.41
2,2.434
1,1.262
0,2.126
1,2.302
1,2.43
1,2.448
3,0.93
1,2.178
0,2.232
2,2.07159999999996
1,2.434
3,2.242
0,2.282
0,0
3,1.606
1,2.254
1,1.936
0,2.37
0,1.654
1,2.218
1,2.53
0,2.336
1,2.42
0,1.83799999999995
4,2.104
2,2.388
1,2.408
1,2.222
1,1.74
1,2.152
1,1.616
3,0.002
1,2.172
1,2.204
1,0.706
1,0.888
1,2.008
2,2.142
0,2.482
1,2.086
0,2.258
0,2.574
1,0
1,2.33
2,2.258
1,1.524
2,0
1,1.85
0,0.008
2,2.412
0,0.816
1,2.382
0,2.312
1,2.234
0,1.234
4,1.38
1,2.352
1,1.804
0,2.36
1,2.11
0,1.65
2,0.806
2,2.296
0,1.848
0,2.408
0,2.028
0,2.37
2,1.60219999999996
1,2.318
2,2.274
1,2.056
1,2.28
2,2.482
0,2.4
3,1.54
1,1.72
3,1.694
0,1.288
2,2.332
0,2.258
2,2.376
0,2.246
1,1.67799999999995
1,2.26
1,2.546
1,2.648
0,2.358
1,2.298
0,0.002
1,1.698
1,2.004
1,1.776
0,2.552
0,0.028
3,1.658
1,2.23
4,2.444
2,1.26
2,2.326
4,2.29
1,2.332
2,2.216
0,1.728
1,2.31
0,2.454
0,2.422
1,2.398
1,1.588
2,2.154
1,2.238
2,1.62599999999995
2,2.344
3,2.442
1,2.38
1,2.1
0,2.382
1,2.282
0,2.404
2,1.62
2,2.278
2,1.694
2,1.922
1,2.286
1,1.72199999999995
1,2.084
0,0.76
1,1.706
0,2.232
1,1.398
1,1.59
1,2.214
2,1.61599999999995
1,1.994
0,1.706
1,2.262
0,1.544
3,2.344
1,2.466
0,2.036
1,1.78
1,2.258
0,1.666
3,1.966
0,0.784
2,2.35
0,2.432
0,1.79
3,2.462
0,2.336
0,2.346
2,0.918
0,1.434
0,1.59
2,2.41
2,0.698
1,2.4
1,2.256
0,2.272
0,1.5
4,2.008
1,2.47
0,1.72
1,2.09
0,1.918
1,2.318
1,1.752
2,1.51
5,2.064
1,2.338
