"pb","quant_boot"
31,10.34
33,10.024
33,9.874
43,10.344
37,9.578
31,10.23
40,9.708
34,9.928
31,10.124
26,9.654
39,10.516
19,10.5572
27,10.8308
25,10.6508
30,9.864
39,10.556
28,10.726
27,11.384
38,9.106
39,9.536
33,10.149
29,9.764
33,9.27319999999998
38,10.114
40,10.716
33,10.512
37,10.01
33,10.366
39,10.6796
40,9.136
42,10.528
35,9.216
48,9.92799999999999
30,10.428
27,10.664
32,9.974
31,10.712
37,10.238
37,10.278
30,10.154
42,9.63639999999996
33,10.556
30,9.21
33,9.728
34,10.036
28,10.196
26,9.546
29,10.048
25,9.9892
39,10.324
37,10.122
37,10.312
36,10.264
34,9.738
43,9.562
20,10.396
37,10.254
30,10.9
29,9.934
43,9.618
34,9.746
34,10.498
37,10.008
30,10.546
31,10.896
33,10.544
35,9.682
38,10.872
38,9.864
20,10.448
34,10.478
38,10.82
44,9.914
36,9.806
37,9.714
27,10.338
36,10.594
43,10.73
36,10.1148
35,10.102
32,10.432
36,10.49
25,10.113
41,10.352
23,10.876
37,10.14
26,9.71199999999997
40,10.372
34,10.098
39,10.284
36,9.886
42,9.932
33,10.362
28,10.04
33,9.758
24,9.772
26,9.88
29,9.54
37,11.288
37,9.546
37,9.958
43,10.473
27,10.354
26,9.714
37,10.2732
31,10.1994
32,10.908
38,10.976
35,10.076
29,10.9
38,10.042
33,9.868
28,10.192
36,11.232
32,10.314
25,10.496
22,10.12
31,9.708
50,9.67
34,11.63
46,11.126
33,10.3344
34,10.2138
27,10.808
30,9.592
41,10.3578
42,9.646
37,9.02
22,9.746
34,9.512
26,10.418
25,10.008
44,9.88659999999999
32,10.394
41,10.2462
44,9.818
34,9.10939999999996
39,10.704
42,9.224
38,10.326
50,9.09859999999996
26,11.348
31,9.528
28,9.842
36,10.408
31,10.206
30,9.538
27,9.81
37,10.594
40,10.0932
36,10.09
44,10.29
31,10.894
26,9.772
37,10.888
33,10.416
36,9.826
27,10.874
31,10.044
33,10.282
26,10.098
45,9.354
28,10.026
37,10.016
35,9.928
29,10.11
40,9.592
40,10.732
34,10.6598
42,10.018
39,10.594
34,9.846
38,9.586
43,10.176
30,9.69399999999997
40,10.22
29,10.41
38,9.66339999999997
31,10.05
38,10.112
40,9.10759999999996
40,10.3992
36,10.33
39,9.302
28,9.762
32,10.264
44,10.254
46,11.329
30,10.222
32,9.534
37,10.296
38,10.772
42,10.578
36,10.506
40,10.4784
35,10.992
32,10.248
27,9.558
39,10.942
39,10.496
41,10.472
25,10.392
31,9.17239999999997
33,9.5
38,11.226
40,10.2354
38,10.496
44,10.838
38,9.078
38,10.446
36,10.26
32,8.794
33,10.3578
30,9.658
41,10.8272
38,10.294
38,10.1076
45,10.0518
47,10.728
37,9.08
38,9.858
32,9.63999999999997
40,10.83
36,10.322
30,10.91
25,10.906
33,9.694
36,10.436
29,9.20839999999997
31,9.83079999999998
29,10.018
40,10.466
35,10.408
37,10.332
25,10.596
38,9.588
37,10.026
46,10.02
22,9.596
34,10.478
22,10.304
40,10.402
34,10.748
31,10.846
33,9.63999999999997
35,9.952
37,9.54
37,10.634
39,10.3668
25,9.578
32,9.676
37,9.722
37,10.218
34,10.262
38,9.702
42,10.51
39,10.866
32,9.826
34,10.108
25,10.178
34,9.82
40,10.2084
29,10.268
39,9.9856
25,10.966
36,10.186
26,10.202
36,10.526
29,10.054
38,10.996
43,9.808
38,10.6292
32,10.236
45,10.304
