"pb","quant_boot"
8,3.948
7,3.52
7,3.634
6,3.702
5,3.91
5,3.35
5,3.936
6,4.36
4,3.5
6,3.714
6,3.054
3,3.356
3,3.996
2,3.122
5,3.574
1,3.548
7,3.602
6,3.724
3,3.516
2,3.764
3,3.692
3,3.67
6,3.608
4,3.07
6,3.624
5,3.716
9,3.72
3,3.616
4,3.938
3,3.068
4,3.664
8,3.9874
2,3.07
5,3.532
4,3.866
2,3.568
8,4.05
7,3.63
4,3.624
8,4.156
7,3.546
2,3.746
8,3.934
6,3.68
3,3.966
4,4.232
7,4.122
4,3.054
8,3.824
1,3.684
10,3.846
5,3.58
7,3.028
3,3.71379999999997
6,3.652
6,3.77859999999998
10,3.528
5,3.79
8,4.392
6,3.572
10,3.766
8,3.73
6,3.81
3,3.656
7,4.166
9,3.75
5,3.59
1,3.628
6,3.672
5,3.318
5,3.272
2,3.838
3,3.028
5,3.65
6,3.93339999999999
6,3.802
5,4.244
5,3.522
7,3.54
5,3.528
14,3.736
5,3.734
5,3.038
5,3.526
6,3.622
10,3.716
9,3.674
8,4.288
6,3.13
7,3.862
8,4.376
12,3.502
11,4.028
8,3.89559999999999
3,4.208
5,3.832
4,3.794
8,3.872
7,3.002
7,3.566
8,3.734
7,3.534
4,3.86859999999999
3,3.562
6,3.646
4,3.662
1,3.184
3,3.68
2,3.562
7,4.122
5,4.014
8,4.138
4,3.534
10,3.66
7,3.55
7,3.868
8,3.906
4,3.955
5,3.574
9,3.54
6,4.408
8,4.58
5,3.72459999999997
9,4.002
4,3.506
3,3.178
8,3.564
11,3.806
2,3.24
6,3.758
11,4.064
9,3.558
2,3.518
6,3.91539999999999
4,3.612
4,3.59
9,3.584
1,3.03
3,3.526
3,3.072
9,4.046
4,3.896
8,3.82
4,3.124
5,3.618
6,4.17
7,4.09
4,3.83619999999998
6,3.582
5,3.78219999999998
6,3.608
4,3.156
6,3.532
3,3.836
7,3.634
9,3.876
0,3.23
3,3.016
2,3.81279999999998
7,3.636
7,3.866
12,3.59
8,3.84519999999998
6,3.754
3,3.532
9,4.104
4,3.034
6,3.512
9,3.932
12,3.16879999999997
7,3.892
8,3.92799999999999
10,3.838
5,3.928
6,3.506
8,3.668
11,4.226
3,3.966
7,3.636
7,3.184
7,3.79
7,3.78219999999998
9,3.9
8,4.08
6,4.102
4,3.582
5,3.594
5,3.604
4,3.772
1,3.194
8,3.584
9,3.678
7,3.56
4,3.598
5,3.76239999999998
7,3.90819999999999
3,3.596
